OrderID,OrderDate,Year,Month,Quarter,CustomerID,SalespersonID,Region,Country,ProductCategory,ProductName,Quantity,UnitPrice_USD,SubTotal_USD,DiscountRate,DiscountAmt_USD,TaxRate,TaxAmt_USD,ShippingCost_USD,TotalAmount_USD,ProfitMargin,Profit_USD,PaymentMethod,ShippingMethod,DeliveryDays,ReturnFlag,CustomerRating
ORD000026,2023-08-19,2023,8,Q3,CUST01130,SP040,Southern Africa,Ghana,Beauty,Perfume,19,55.37,1051.96,0.2,210.39,0.16,134.65,19.74,976.22,0.4138,403.96,Bank Transfer,Express,3,No,4.8
ORD000027,2024-01-08,2024,1,Q1,CUST00321,SP006,North Africa,Egypt,Beauty,Perfume,1,77.58,77.58,0.0,0.0,0.16,12.41,9.92,89.99,0.1856,16.7,Bank Transfer,Same Day,1,No,3.7
ORD000028,2023-10-03,2023,10,Q4,CUST00788,SP010,Europe,South Africa,Beauty,Lipstick,5,14.18,70.91,0.15,10.64,0.16,9.64,13.44,69.91,0.1966,13.74,Cash,Same Day,6,No,3.4
ORD000029,2024-05-22,2024,5,Q2,CUST01060,SP033,East Africa,Ghana,Clothing,Jeans,10,45.55,455.49,0.0,0.0,0.16,72.88,13.41,528.37,0.2821,149.05,Bank Transfer,Express,12,No,1.5
ORD000030,2022-08-26,2022,8,Q3,CUST00885,SP014,Europe,Nigeria,Beauty,Perfume,2,60.17,120.33,0.0,0.0,0.16,19.25,23.32,139.58,0.3323,46.38,Mobile Money,Express,3,No,4.0
ORD000031,2022-07-14,2022,7,Q3,CUST00370,SP012,Southern Africa,Kenya,Clothing,Jeans,9,46.16,415.47,0.0,0.0,0.16,66.48,21.44,481.95,0.2568,123.76,Installment,Express,7,No,4.1
ORD000032,2022-04-04,2022,4,Q2,CUST00908,SP007,Europe,South Africa,Groceries,Coffee Pack,19,11.64,221.16,0.2,44.23,0.16,28.31,21.73,205.24,0.2901,59.54,Bank Transfer,Economy,12,No,1.7
ORD000033,2022-01-20,2022,1,Q1,CUST00049,SP005,Southern Africa,Tanzania,Clothing,T-Shirt,5,13.18,65.89,0.05,3.29,0.16,10.02,5.83,72.62,0.1501,10.9,Mobile Money,Same Day,14,No,2.6
ORD000034,2022-10-11,2022,10,Q4,CUST00423,SP023,Europe,Uganda,Beauty,Shampoo,5,9.29,46.46,0.0,0.0,0.16,7.43,22.72,53.89,0.3234,17.43,Installment,Standard,3,No,3.3
ORD000035,2022-12-16,2022,12,Q4,CUST00791,SP038,Southern Africa,Kenya,Beauty,Face Cream,14,15.97,223.63,0.05,11.18,0.16,33.99,11.06,246.44,0.2169,53.45,Bank Transfer,Economy,14,No,2.0
ORD000036,2023-11-05,2023,11,Q4,CUST01163,SP027,East Africa,UAE,Sports,Bicycle,3,207.32,621.95,0.1,62.2,0.16,89.56,14.53,649.31,0.2763,179.4,Bank Transfer,Express,7,No,4.9
ORD000037,2024-01-03,2024,1,Q1,CUST00353,SP013,Southern Africa,South Africa,Electronics,Laptop,14,458.2,6414.86,0.05,320.74,0.16,975.06,16.13,7069.18,0.3041,2149.74,Credit Card,Same Day,1,Yes,1.7
ORD000038,2024-06-15,2024,6,Q2,CUST00560,SP005,North Africa,Ethiopia,Beauty,Shampoo,5,9.62,48.12,0.0,0.0,0.16,7.7,11.89,55.82,0.0825,4.61,Bank Transfer,Standard,13,No,4.9
ORD000039,2023-07-04,2023,7,Q3,CUST01154,SP004,West Africa,Germany,Groceries,Coffee Pack,8,8.72,69.76,0.0,0.0,0.16,11.16,9.89,80.92,0.2759,22.33,Bank Transfer,Standard,10,No,1.7
ORD000040,2022-07-10,2022,7,Q3,CUST00320,SP010,Southern Africa,Ghana,Beauty,Body Lotion,8,9.39,75.1,0.1,7.51,0.16,10.81,7.7,78.4,0.4005,31.4,Cash,Economy,6,No,3.0
ORD000041,2024-02-03,2024,2,Q1,CUST00824,SP029,Southern Africa,Tanzania,Groceries,Milk Powder,6,10.6,63.58,0.25,15.9,0.16,7.63,13.81,55.31,0.1137,6.29,Mobile Money,Same Day,14,No,4.9
ORD000042,2023-12-03,2023,12,Q4,CUST01178,SP013,Southern Africa,Nigeria,Sports,Yoga Mat,2,29.2,58.4,0.1,5.84,0.16,8.41,21.27,60.97,0.1169,7.13,Credit Card,Standard,3,No,1.8
ORD000043,2023-01-10,2023,1,Q1,CUST00406,SP020,West Africa,Nigeria,Beauty,Body Lotion,6,13.14,78.86,0.2,15.77,0.16,10.09,19.6,73.18,0.1478,10.82,Bank Transfer,Express,8,No,4.0
ORD000044,2022-08-22,2022,8,Q3,CUST00309,SP026,North Africa,Tanzania,Electronics,Smart Watch,7,122.3,856.12,0.2,171.22,0.16,109.58,13.73,794.48,0.114,90.57,Mobile Money,Express,1,No,3.0
ORD000045,2024-03-31,2024,3,Q1,CUST00843,SP039,North Africa,Tanzania,Electronics,Monitor,11,195.0,2144.95,0.0,0.0,0.16,343.19,9.88,2488.14,0.3702,921.11,Bank Transfer,Same Day,10,No,2.7
ORD000046,2024-03-30,2024,3,Q1,CUST00649,SP012,West Africa,UAE,Beauty,Lipstick,5,11.65,58.23,0.2,11.65,0.16,7.45,2.29,54.03,0.3796,20.51,Cash,Same Day,14,No,2.7
ORD000047,2024-07-23,2024,7,Q3,CUST00960,SP018,North Africa,South Africa,Beauty,Face Cream,10,17.98,179.77,0.0,0.0,0.16,28.76,6.78,208.53,0.2411,50.28,Cash,Express,7,No,3.2
ORD000048,2023-07-11,2023,7,Q3,CUST00504,SP029,West Africa,Kenya,Clothing,Dress,20,54.36,1087.18,0.05,54.36,0.16,165.25,6.3,1198.07,0.349,418.13,Mobile Money,Same Day,14,No,4.1
ORD000049,2024-02-29,2024,2,Q1,CUST00268,SP028,Middle East,Kenya,Sports,Running Shoes,15,78.3,1174.46,0.05,58.72,0.16,178.52,15.53,1294.26,0.1832,237.11,Installment,Express,2,No,2.3
ORD000050,2024-09-06,2024,9,Q3,CUST00997,SP035,Southern Africa,South Africa,Groceries,Cooking Oil 2L,7,5.17,36.22,0.1,3.62,0.16,5.22,23.18,37.82,0.2513,9.5,Bank Transfer,Standard,13,No,5.0
ORD000051,2024-05-13,2024,5,Q2,CUST00648,SP005,East Africa,Uganda,Beauty,Face Cream,6,15.84,95.07,0.15,14.26,0.16,12.93,9.27,93.74,0.2629,24.64,Installment,Express,13,No,4.6
ORD000052,2022-12-08,2022,12,Q4,CUST01087,SP002,Europe,UAE,Electronics,Headphones,7,52.85,369.92,0.0,0.0,0.16,59.19,20.24,429.11,0.1841,79.0,Mobile Money,Same Day,14,No,3.0
ORD000053,2022-08-20,2022,8,Q3,CUST00073,SP008,Middle East,Germany,Clothing,Jeans,4,35.56,142.22,0.2,28.44,0.16,18.2,9.58,131.98,0.2797,36.91,Credit Card,Economy,13,No,3.1
ORD000054,2022-09-29,2022,9,Q3,CUST00199,SP033,Europe,Kenya,Groceries,Rice 5kg,15,7.89,118.35,0.0,0.0,0.16,18.94,24.18,137.29,0.3667,50.34,Credit Card,Express,11,No,3.9
ORD000055,2022-05-01,2022,5,Q2,CUST00134,SP016,Middle East,Egypt,Furniture,Office Chair,18,141.63,2549.39,0.25,637.35,0.16,305.93,6.48,2217.97,0.4013,890.07,Bank Transfer,Standard,13,Yes,2.2
ORD000056,2022-11-23,2022,11,Q4,CUST00176,SP023,Southern Africa,Tanzania,Clothing,Formal Shirt,10,34.28,342.85,0.25,85.71,0.16,41.14,11.36,298.28,0.1836,54.76,Bank Transfer,Same Day,9,No,3.0
ORD000057,2022-08-01,2022,8,Q3,CUST00044,SP016,West Africa,Uganda,Beauty,Perfume,7,57.38,401.67,0.1,40.17,0.16,57.84,5.44,419.34,0.3945,165.43,Credit Card,Express,8,No,2.4
ORD000058,2024-05-02,2024,5,Q2,CUST00018,SP007,East Africa,Nigeria,Furniture,Office Chair,4,175.11,700.43,0.1,70.04,0.16,100.86,7.2,731.25,0.2933,214.48,Cash,Same Day,5,No,2.7
ORD000059,2024-09-15,2024,9,Q3,CUST00109,SP023,Southern Africa,Egypt,Sports,Tennis Racket,18,51.29,923.31,0.25,230.83,0.16,110.8,4.44,803.28,0.2841,228.21,Bank Transfer,Express,11,No,4.2
ORD000060,2024-06-16,2024,6,Q2,CUST00679,SP031,Southern Africa,Uganda,Clothing,Formal Shirt,8,36.6,292.82,0.0,0.0,0.16,46.85,4.52,339.67,0.1218,41.37,Mobile Money,Same Day,14,No,3.0
ORD000061,2023-01-07,2023,1,Q1,CUST00185,SP016,Southern Africa,Ethiopia,Furniture,Standing Desk,8,367.47,2939.74,0.1,293.97,0.16,423.32,16.46,3069.09,0.3216,987.02,Bank Transfer,Express,8,No,4.3
ORD000062,2024-02-17,2024,2,Q1,CUST00642,SP035,Europe,Uganda,Groceries,Sugar 1kg,10,2.05,20.53,0.05,1.03,0.16,3.12,20.03,22.62,0.1844,4.17,Mobile Money,Economy,3,No,1.8
ORD000063,2024-01-05,2024,1,Q1,CUST00731,SP035,Southern Africa,Ethiopia,Electronics,Tablet,8,167.38,1339.04,0.0,0.0,0.16,214.25,3.86,1553.29,0.225,349.49,Credit Card,Same Day,12,No,3.7
ORD000064,2022-03-01,2022,3,Q1,CUST00416,SP002,Middle East,Nigeria,Groceries,Tea Bags,19,6.47,123.01,0.0,0.0,0.16,19.68,7.09,142.69,0.1281,18.28,Bank Transfer,Standard,10,No,4.4
ORD000065,2022-09-25,2022,9,Q3,CUST00309,SP027,Europe,Tanzania,Beauty,Sunscreen,20,13.23,264.63,0.1,26.46,0.16,38.11,9.39,276.28,0.1584,43.76,Cash,Same Day,14,No,1.7
ORD000066,2024-09-16,2024,9,Q3,CUST00437,SP019,North Africa,Nigeria,Furniture,Office Chair,2,158.19,316.37,0.0,0.0,0.16,50.62,23.55,366.99,0.2914,106.94,Mobile Money,Economy,13,No,2.9
ORD000067,2024-09-26,2024,9,Q3,CUST00630,SP038,Southern Africa,Germany,Furniture,Sofa,14,502.03,7028.43,0.1,702.84,0.16,1012.09,15.75,7337.68,0.2888,2119.12,Cash,Economy,2,No,4.6
ORD000068,2022-08-20,2022,8,Q3,CUST00136,SP004,Middle East,Nigeria,Electronics,Monitor,17,174.05,2958.78,0.0,0.0,0.16,473.4,4.47,3432.18,0.2359,809.65,Mobile Money,Economy,3,No,4.8
ORD000069,2024-04-22,2024,4,Q2,CUST00744,SP026,East Africa,South Africa,Clothing,Sneakers,9,80.11,720.99,0.05,36.05,0.16,109.59,10.5,794.53,0.2944,233.91,Installment,Economy,1,No,4.1
ORD000070,2024-06-21,2024,6,Q2,CUST00647,SP003,Europe,Kenya,Sports,Bicycle,7,211.39,1479.76,0.1,147.98,0.16,213.08,18.45,1544.86,0.3748,579.01,Cash,Economy,5,No,3.6
ORD000071,2022-04-05,2022,4,Q2,CUST01195,SP005,West Africa,Tanzania,Furniture,Coffee Table,8,105.34,842.74,0.05,42.14,0.16,128.1,24.5,928.7,0.0909,84.42,Cash,Same Day,2,No,1.7
ORD000072,2022-05-10,2022,5,Q2,CUST00915,SP005,North Africa,South Africa,Furniture,Coffee Table,19,114.53,2176.14,0.2,435.23,0.16,278.55,18.98,2019.46,0.15,302.92,Cash,Economy,14,No,4.9
ORD000073,2023-06-20,2023,6,Q2,CUST00973,SP033,Southern Africa,Ethiopia,Beauty,Body Lotion,7,10.13,70.91,0.05,3.55,0.16,10.78,6.17,78.14,0.1807,14.12,Cash,Standard,12,No,1.1
ORD000074,2023-10-06,2023,10,Q4,CUST00694,SP032,Europe,Kenya,Sports,Football,20,17.17,343.33,0.0,0.0,0.16,54.93,20.84,398.26,0.2762,110.0,Cash,Standard,11,No,3.2
ORD000075,2022-01-26,2022,1,Q1,CUST00359,SP015,West Africa,Tanzania,Furniture,Office Chair,18,131.79,2372.26,0.2,474.45,0.16,303.65,2.08,2201.46,0.3064,674.53,Credit Card,Same Day,6,No,1.7
ORD000076,2024-12-10,2024,12,Q4,CUST00594,SP024,Middle East,Kenya,Sports,Dumbbells Set,13,82.46,1071.93,0.05,53.6,0.16,162.93,13.09,1181.26,0.2681,316.7,Bank Transfer,Same Day,6,Yes,4.8
ORD000077,2023-04-04,2023,4,Q2,CUST00622,SP023,Southern Africa,Kenya,Beauty,Face Cream,10,19.08,190.79,0.15,28.62,0.16,25.95,9.94,188.12,0.3172,59.67,Cash,Same Day,8,No,3.6
ORD000078,2023-11-24,2023,11,Q4,CUST00208,SP033,Middle East,Nigeria,Furniture,Bookshelf,10,94.41,944.1,0.0,0.0,0.16,151.06,23.77,1095.16,0.2318,253.86,Installment,Express,1,No,4.5
ORD000079,2024-11-29,2024,11,Q4,CUST01151,SP006,Europe,Egypt,Sports,Dumbbells Set,8,97.19,777.54,0.1,77.75,0.16,111.97,3.06,811.76,0.3509,284.85,Mobile Money,Economy,6,No,2.7
ORD000080,2024-12-07,2024,12,Q4,CUST00328,SP014,Southern Africa,Kenya,Sports,Tennis Racket,20,53.69,1073.84,0.0,0.0,0.16,171.81,7.88,1245.65,0.1046,130.29,Credit Card,Express,7,No,4.0
ORD000081,2022-07-15,2022,7,Q3,CUST00312,SP031,Europe,UAE,Clothing,Jeans,13,47.55,618.14,0.0,0.0,0.16,98.9,7.98,717.04,0.2908,208.52,Bank Transfer,Standard,2,No,3.8
ORD000082,2024-06-05,2024,6,Q2,CUST00335,SP026,East Africa,South Africa,Beauty,Face Cream,10,18.58,185.8,0.25,46.45,0.16,22.3,11.74,161.65,0.0947,15.31,Credit Card,Express,1,No,4.4
ORD000083,2023-05-25,2023,5,Q2,CUST00851,SP040,East Africa,Tanzania,Beauty,Body Lotion,2,10.2,20.41,0.0,0.0,0.16,3.27,23.24,23.68,0.1585,3.75,Credit Card,Standard,14,No,1.2
ORD000084,2024-09-13,2024,9,Q3,CUST00243,SP004,Middle East,South Africa,Sports,Football,11,23.39,257.31,0.1,25.73,0.16,37.05,17.01,268.63,0.101,27.13,Installment,Express,11,No,3.2
ORD000085,2023-12-10,2023,12,Q4,CUST01091,SP019,North Africa,Tanzania,Clothing,Formal Shirt,19,36.31,689.86,0.0,0.0,0.16,110.38,4.79,800.24,0.282,225.67,Bank Transfer,Economy,9,No,4.0
ORD000086,2024-02-28,2024,2,Q1,CUST00840,SP001,East Africa,Tanzania,Sports,Bicycle,17,180.63,3070.71,0.1,307.07,0.16,442.18,20.97,3205.82,0.1515,485.68,Installment,Express,1,No,4.9
ORD000087,2022-11-01,2022,11,Q4,CUST00325,SP011,East Africa,Egypt,Electronics,Headphones,15,58.95,884.25,0.0,0.0,0.16,141.48,16.49,1025.73,0.1113,114.16,Installment,Standard,4,No,3.8
ORD000088,2022-04-22,2022,4,Q2,CUST01151,SP009,Southern Africa,Ghana,Beauty,Body Lotion,12,10.64,127.62,0.15,19.14,0.16,17.36,2.37,125.84,0.3429,43.15,Bank Transfer,Same Day,10,No,3.4
ORD000089,2022-01-24,2022,1,Q1,CUST01132,SP008,West Africa,Ethiopia,Beauty,Face Cream,8,17.57,140.55,0.0,0.0,0.16,22.49,23.13,163.04,0.0802,13.08,Credit Card,Economy,7,No,3.1
ORD000090,2022-11-18,2022,11,Q4,CUST00962,SP024,Middle East,UAE,Clothing,Dress,10,48.66,486.62,0.0,0.0,0.16,77.86,3.09,564.48,0.2667,150.55,Credit Card,Economy,10,No,2.3
ORD000091,2024-11-01,2024,11,Q4,CUST00576,SP008,Europe,Egypt,Groceries,Sugar 1kg,4,2.02,8.09,0.0,0.0,0.16,1.29,16.03,9.38,0.3926,3.68,Credit Card,Economy,7,No,1.5
ORD000092,2024-08-19,2024,8,Q3,CUST00511,SP021,Europe,Egypt,Electronics,Camera,4,310.23,1240.94,0.0,0.0,0.16,198.55,15.82,1439.49,0.3479,500.8,Installment,Same Day,2,No,4.7
ORD000093,2024-10-12,2024,10,Q4,CUST00233,SP005,North Africa,Tanzania,Sports,Bicycle,10,231.35,2313.52,0.05,115.68,0.16,351.65,16.0,2549.49,0.2853,727.37,Bank Transfer,Express,10,No,1.7
ORD000094,2022-12-05,2022,12,Q4,CUST00301,SP024,East Africa,Tanzania,Groceries,Sugar 1kg,12,1.74,20.94,0.05,1.05,0.16,3.18,21.51,23.07,0.1151,2.66,Credit Card,Same Day,2,No,3.9
ORD000095,2022-06-03,2022,6,Q2,CUST00912,SP024,North Africa,Ethiopia,Sports,Yoga Mat,12,28.34,340.13,0.05,17.01,0.16,51.7,4.84,374.82,0.3487,130.7,Mobile Money,Economy,11,No,4.2
ORD000096,2024-10-03,2024,10,Q4,CUST00199,SP034,Southern Africa,Tanzania,Beauty,Shampoo,17,9.63,163.7,0.1,16.37,0.16,23.57,14.3,170.9,0.194,33.15,Installment,Economy,3,No,4.4
ORD000097,2023-10-19,2023,10,Q4,CUST00081,SP038,North Africa,UAE,Electronics,Tablet,4,213.9,855.59,0.0,0.0,0.16,136.89,15.19,992.48,0.1322,131.21,Cash,Economy,4,No,2.3
ORD000098,2023-05-09,2023,5,Q2,CUST00278,SP031,West Africa,Nigeria,Groceries,Coffee Pack,18,11.4,205.19,0.05,10.26,0.16,31.19,11.15,226.12,0.4161,94.09,Credit Card,Standard,6,No,4.5
ORD000099,2023-11-09,2023,11,Q4,CUST00781,SP028,East Africa,Ghana,Groceries,Sugar 1kg,8,2.02,16.13,0.1,1.61,0.16,2.32,14.15,16.84,0.111,1.87,Installment,Standard,9,No,3.0
ORD000100,2023-07-24,2023,7,Q3,CUST00969,SP031,Europe,Ghana,Electronics,Headphones,7,67.37,471.56,0.0,0.0,0.16,75.45,13.52,547.01,0.3242,177.34,Bank Transfer,Express,3,No,1.7
ORD000101,2022-04-14,2022,4,Q2,CUST00777,SP002,Europe,Ethiopia,Furniture,Bookshelf,8,93.84,750.68,0.0,0.0,0.16,120.11,19.46,870.79,0.2,174.16,Bank Transfer,Economy,14,No,1.4
ORD000102,2024-11-04,2024,11,Q4,CUST00977,SP027,Europe,South Africa,Electronics,Smart Watch,18,122.83,2210.95,0.1,221.1,0.16,318.38,5.36,2308.23,0.3661,845.04,Cash,Standard,7,No,1.4
ORD000103,2023-04-02,2023,4,Q2,CUST00350,SP039,North Africa,Nigeria,Electronics,Camera,9,282.95,2546.59,0.1,254.66,0.16,366.71,2.68,2658.64,0.2661,707.46,Credit Card,Economy,12,No,3.6
ORD000104,2024-02-15,2024,2,Q1,CUST00041,SP019,Europe,UAE,Furniture,Sofa,4,495.81,1983.26,0.15,297.49,0.16,269.72,23.42,1955.49,0.3828,748.56,Cash,Standard,14,No,3.9
ORD000105,2024-04-05,2024,4,Q2,CUST00743,SP012,Middle East,Ethiopia,Electronics,Smartphone,17,249.5,4241.51,0.0,0.0,0.16,678.64,9.21,4920.15,0.2685,1321.06,Bank Transfer,Standard,11,No,2.8
ORD000106,2023-04-27,2023,4,Q2,CUST00904,SP009,East Africa,Tanzania,Furniture,Standing Desk,6,371.19,2227.15,0.0,0.0,0.16,356.34,20.21,2583.49,0.19,490.86,Credit Card,Same Day,12,No,1.7
ORD000107,2022-06-11,2022,6,Q2,CUST01198,SP029,Southern Africa,Ethiopia,Clothing,Jacket,4,74.94,299.76,0.2,59.95,0.16,38.37,9.35,278.18,0.4066,113.11,Mobile Money,Express,6,No,4.8
ORD000108,2024-07-29,2024,7,Q3,CUST01172,SP029,North Africa,Ethiopia,Electronics,Camera,15,318.02,4770.27,0.1,477.03,0.16,686.92,2.09,4980.16,0.235,1170.34,Mobile Money,Standard,8,No,2.7
ORD000109,2024-06-28,2024,6,Q2,CUST00373,SP025,North Africa,Nigeria,Beauty,Face Cream,18,15.51,279.16,0.2,55.83,0.16,35.73,6.96,259.06,0.3691,95.62,Mobile Money,Standard,6,No,1.3
ORD000110,2024-07-06,2024,7,Q3,CUST00917,SP031,East Africa,Tanzania,Electronics,Headphones,17,58.91,1001.46,0.0,0.0,0.16,160.23,4.43,1161.69,0.3656,424.71,Cash,Economy,14,Yes,2.0
ORD000111,2022-06-30,2022,6,Q2,CUST00041,SP026,West Africa,Ghana,Groceries,Rice 5kg,8,8.67,69.37,0.1,6.94,0.16,9.99,20.92,72.42,0.2713,19.65,Credit Card,Economy,2,No,3.4
ORD000112,2024-10-17,2024,10,Q4,CUST01008,SP026,Middle East,South Africa,Sports,Tennis Racket,19,40.0,760.07,0.0,0.0,0.16,121.61,5.93,881.68,0.2503,220.68,Mobile Money,Economy,9,No,2.9
ORD000113,2024-07-04,2024,7,Q3,CUST01161,SP012,West Africa,Egypt,Clothing,Jacket,12,69.39,832.7,0.15,124.9,0.16,113.25,24.85,821.05,0.1804,148.12,Cash,Express,5,No,3.0
ORD000114,2023-10-10,2023,10,Q4,CUST00705,SP036,Southern Africa,UAE,Furniture,Office Chair,10,165.87,1658.74,0.05,82.94,0.16,252.13,16.09,1827.93,0.2707,494.82,Credit Card,Express,11,No,2.1
ORD000115,2022-09-01,2022,9,Q3,CUST00696,SP037,East Africa,UAE,Groceries,Cooking Oil 2L,8,5.41,43.26,0.05,2.16,0.16,6.58,9.43,47.68,0.2754,13.13,Bank Transfer,Standard,9,No,1.0
ORD000116,2024-10-15,2024,10,Q4,CUST00175,SP023,Southern Africa,Kenya,Clothing,T-Shirt,2,14.57,29.13,0.2,5.83,0.16,3.73,13.61,27.03,0.1617,4.37,Mobile Money,Economy,13,No,1.6
ORD000117,2022-02-06,2022,2,Q1,CUST00758,SP015,West Africa,UAE,Clothing,Sneakers,4,95.79,383.15,0.0,0.0,0.16,61.3,24.12,444.45,0.3536,157.16,Mobile Money,Same Day,12,No,4.8
ORD000118,2022-07-30,2022,7,Q3,CUST00142,SP009,Europe,Ghana,Furniture,Office Chair,6,143.82,862.9,0.1,86.29,0.16,124.26,16.63,900.87,0.1947,175.4,Cash,Economy,1,No,3.4
